iter	Passed	Remaining
1126	216834	745165
1127	217075	745138
1128	217253	744895
1129	217445	744701
1130	217628	744478
1131	217852	744394
1132	218051	744222
1133	218225	743969
1134	218439	743849
1135	218670	743787
1136	218873	743632
1137	219070	743453
1138	219259	743247
1139	219515	743271
1140	219752	743229
1141	219986	743175
1142	220234	743169
1143	220411	742924
1144	220604	742734
1145	220830	742654
1146	220988	742342
1147	221168	742109
1148	221388	742007
1149	221579	741808
1150	221764	741590
1151	221955	741394
1152	222153	741218
1153	222477	741464
1154	222760	741571
1155	222947	741357
1156	223144	741180
1157	223325	740946
1158	223558	740885
1159	223814	740901
1160	224030	740784
1161	224245	740665
1162	224458	740539
1163	224712	740547
1164	224918	740398
1165	225103	740178
1166	225261	739869
1167	225466	739714
1168	225680	739591
1169	225951	739653
1170	226182	739583
1171	226454	739646
1172	226644	739443
1173	226877	739381
1174	227059	739149
1175	227241	738920
1176	227408	738644
1177	227576	738368
1178	227709	737980
1179	227870	737681
1180	228094	737589
1181	228245	737258
1182	228403	736953
1183	228594	736755
1184	228751	736443
1185	228914	736154
1186	229156	736120
1187	229340	735896
1188	229527	735683
1189	229708	735453
1190	229887	735215
1191	230079	735020
1192	230289	734879
1193	230468	734642
1194	230641	734384
1195	230838	734204
1196	231020	733975
1197	231232	733844
1198	231373	733487
1199	231535	733195
1200	231698	732908
1201	231876	732669
1202	232012	732296
1203	232189	732052
1204	232385	731870
1205	232570	731653
1206	232787	731534
1207	233048	731555
1208	233251	731395
1209	233519	731436
1210	233720	731268
1211	233902	731042
1212	234076	730790
1213	234266	730587
1214	234448	730359
1215	234686	730306
1216	234904	730191
1217	235119	730066
1218	235308	729862
1219	235471	729576
1220	235681	729434
1221	235852	729174
1222	236035	728950
1223	236217	728722
1224	236404	728511
1225	236562	728211
1226	236804	728169
1227	236978	727916
1228	237160	727690
1229	237363	727527
1230	237540	727285
1231	237761	727178
1232	237986	727083
1233	238196	726942
1234	238419	726840
1235	238575	726535
1236	238793	726418
1237	239008	726291
1238	239163	725983
1239	239321	725685
1240	239504	725462
1241	239689	725245
1242	239869	725013
1243	240075	724859
1244	240263	724650
1245	240440	724410
1246	240575	724042
1247	240767	723847
1248	240937	723583
1249	241161	723485
1250	241337	723240
1251	241511	722991
1252	241702	722791
1253	241873	722535
1254	242048	722286
1255	242265	722166
1256	242452	721955
1257	242644	721761
1258	242880	721695
1259	243126	721661
1260	243392	721683
1261	243569	721443
1262	243768	721269
1263	243914	720936
1264	244111	720756
1265	244265	720448
1266	244494	720361
1267	244674	720130
1268	244855	719903
1269	245054	719727
1270	245226	719473
1271	245429	719309
1272	245681	719288
1273	245867	719076
1274	246043	718833
1275	246242	718656
1276	246441	718481
1277	246697	718473
1278	246957	718473
1279	247161	718314
1280	247395	718238
1281	247580	718022
1282	247822	717969
1283	248024	717802
1284	248210	717589
1285	248367	717292
1286	248569	717123
1287	248749	716893
1288	248981	716811
1289	249198	716688
1290	249378	716454
1291	249569	716256
1292	249761	716059
1293	249995	715982
1294	250170	715738
1295	250324	715433
1296	250530	715276
1297	250719	715072
1298	250890	714816
1299	251090	714641
1300	251250	714355
1301	251419	714093
1302	251587	713828
1303	251770	713606
1304	251946	713364
1305	252207	713364
1306	252358	713052
1307	252522	712777
1308	252708	712565
1309	252885	712325
1310	253089	712164
1311	253303	712030
1312	253479	711787
1313	253652	711538
1314	253838	711327
1315	254048	711181
1316	254223	710938
1317	254426	710772
1318	254600	710527
1319	254782	710303
1320	254967	710088
1321	255134	709822
1322	255310	709580
1323	255536	709481
1324	255702	709213
1325	255850	708896
1326	255999	708581
1327	256240	708521
1328	256414	708275
1329	256614	708101
1330	256803	707897
1331	256988	707682
1332	257169	707456
1333	257331	707178
1334	257526	706992
1335	257790	706993
1336	257990	706820
1337	258232	706761
1338	258420	706554
1339	258610	706352
1340	258843	706270
1341	259034	706072
1342	259198	705799
1343	259378	705570
1344	259546	705311
1345	259723	705074
1346	259907	704855
1347	260103	704671
1348	260268	704403
1349	260486	704277
1350	260655	704021
1351	260837	703798
1352	261073	703720
1353	261278	703561
1354	261457	703329
1355	261674	703202
1356	261853	702971
1357	262043	702771
1358	262263	702650
1359	262455	702453
1360	262672	702324
1361	262891	702203
1362	263073	701980
1363	263262	701776
1364	263427	701509
1365	263596	701250
1366	263798	701081
1367	263964	700817
1368	264125	700539
1369	264319	700350
1370	264493	700107
1371	264652	699823
1372	264823	699572
1373	265005	699351
1374	265198	699159
1375	265421	699045
1376	265580	698764
1377	265771	698565
1378	265976	698406
1379	266162	698193
1380	266329	697934
1381	266571	697869
1382	266734	697599
1383	266915	697374
1384	267098	697154
1385	267293	696968
1386	267544	696927
1387	267746	696756
